TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,Fold
21,35,0,1,22,35,0.9545454545454546,1.0,0.0,0.045454545454545456,0.9824561403508771,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465117,0.01754385964912286,0.9545454545454546,0.962671905697446,0.027437908157653814,0.8842262810334841,1
22,34,1,0,22,35,1.0,0.9714285714285714,0.02857142857142857,0.0,0.9824561403508771,0.9857142857142858,0.9565217391304348,1.0,0.9777777777777777,0.01754385964912286,0.9714285714285714,0.9632968448164843,0.011565762703108936,0.9511984895812975,2
20,34,2,1,21,36,0.9523809523809523,0.9444444444444444,0.05555555555555555,0.047619047619047616,0.9473684210526315,0.9484126984126984,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.052631578947368474,0.8968253968253967,0.888015717092338,0.022886741172380248,0.9016415051996516,3
18,36,0,3,21,36,0.8571428571428571,1.0,0.0,0.14285714285714285,0.9473684210526315,0.9285714285714286,1.0,0.8571428571428571,0.923076923076923,0.052631578947368474,0.8571428571428571,0.8834355828220859,0.0349133959960746,0.8499555243502032,4
20,36,0,1,21,36,0.9523809523809523,1.0,0.0,0.047619047619047616,0.9824561403508771,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.01754385964912286,0.9523809523809523,0.9619238476953907,0.02436007562396277,0.8953096749970171,5
18,36,0,3,21,36,0.8571428571428571,1.0,0.0,0.14285714285714285,0.9473684210526315,0.9285714285714286,1.0,0.8571428571428571,0.923076923076923,0.052631578947368474,0.8571428571428571,0.8834355828220859,0.04254314383214215,0.8171657747213891,6
21,36,0,0,21,36,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.004503265840841852,0.9806466789459058,7
21,35,1,0,21,36,1.0,0.9722222222222222,0.027777777777777776,0.0,0.9824561403508771,0.9861111111111112,0.9545454545454546,1.0,0.9767441860465117,0.01754385964912286,0.9722222222222222,0.962671905697446,0.017773071610025015,0.9236181089140592,8
20,36,0,1,21,36,0.9523809523809523,1.0,0.0,0.047619047619047616,0.9824561403508771,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.01754385964912286,0.9523809523809523,0.9619238476953907,0.01804461399826781,0.9224511231741109,9
21,35,0,0,21,35,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0031757737369089447,0.9864500320558551,10
20.2,35.3,0.4,1.0,21.2,35.7,0.9525974025974027,0.9888095238095239,0.01119047619047619,0.047402597402597405,0.9754385964912279,0.9707034632034631,0.9820158102766798,0.9525974025974027,0.9658872066359304,0.02456140350877197,0.9414069264069264,0.9467375234338666,0.020720375267136614,0.9112663192972974,Average
