TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,Fold
22,33,2,0,22,35,1.0,0.9428571428571428,0.05714285714285714,0.0,0.9649122807017544,0.9714285714285714,0.9166666666666666,1.0,0.9565217391304348,0.03508771929824561,0.9428571428571428,0.9272030651340997,0.02093074021022285,0.9116831494246571,1
22,34,1,0,22,35,1.0,0.9714285714285714,0.02857142857142857,0.0,0.9824561403508771,0.9857142857142858,0.9565217391304348,1.0,0.9777777777777777,0.01754385964912286,0.9714285714285714,0.9632968448164843,0.005042293504237928,0.9787241407853648,2
20,34,2,1,21,36,0.9523809523809523,0.9444444444444444,0.05555555555555555,0.047619047619047616,0.9473684210526315,0.9484126984126984,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.052631578947368474,0.8968253968253967,0.888015717092338,0.05122673855591034,0.7798469926347187,3
19,36,0,2,21,36,0.9047619047619048,1.0,0.0,0.09523809523809523,0.9649122807017544,0.9523809523809523,1.0,0.9047619047619048,0.9500000000000001,0.03508771929824561,0.9047619047619048,0.9230769230769231,0.035438805575828396,0.8476975141324518,4
20,35,1,1,21,36,0.9523809523809523,0.9722222222222222,0.027777777777777776,0.047619047619047616,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.03508771929824561,0.9246031746031745,0.9246031746031746,0.03170875568981801,0.8637278475711392,5
17,36,0,4,21,36,0.8095238095238095,1.0,0.0,0.19047619047619047,0.9298245614035088,0.9047619047619048,1.0,0.8095238095238095,0.8947368421052632,0.07017543859649122,0.8095238095238095,0.8429752066115702,0.06190947368389699,0.733936666668014,6
21,36,0,0,21,36,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5087776461486234e-06,0.9999935158484493,7
21,34,2,0,21,36,1.0,0.9444444444444444,0.05555555555555555,0.0,0.9649122807017544,0.9722222222222222,0.9130434782608695,1.0,0.9545454545454545,0.03508771929824561,0.9444444444444444,0.9260700389105059,0.030091838064112766,0.8706767435578011,8
20,36,0,1,21,36,0.9523809523809523,1.0,0.0,0.047619047619047616,0.9824561403508771,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.01754385964912286,0.9523809523809523,0.9619238476953907,0.017306803891221897,0.9256219499436773,9
20,35,0,1,21,35,0.9523809523809523,1.0,0.0,0.047619047619047616,0.9821428571428571,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.017857142857142905,0.9523809523809523,0.9615384615384616,0.008458992240111396,0.9639082997755247,10
20.2,34.9,0.8,1.0,21.2,35.7,0.9523809523809523,0.9775396825396825,0.022460317460317458,0.047619047619047616,0.9683897243107769,0.9649603174603175,0.9647703745529832,0.9523809523809523,0.956741483627454,0.031610275689223075,0.9299206349206349,0.9318703279478948,0.02621159501930067,0.8875816820341799,Average
