TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,Fold
21,33,2,1,22,35,0.9545454545454546,0.9428571428571428,0.05714285714285714,0.045454545454545456,0.9473684210526315,0.9487012987012987,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.052631578947368474,0.8974025974025974,0.8898905344494527,0.03273040935672515,0.8618946753246752,1
22,34,1,0,22,35,1.0,0.9714285714285714,0.02857142857142857,0.0,0.9824561403508771,0.9857142857142858,0.9565217391304348,1.0,0.9777777777777777,0.01754385964912286,0.9714285714285714,0.9632968448164843,0.020905458089668618,0.9117898268398268,2
20,36,0,1,21,36,0.9523809523809523,1.0,0.0,0.047619047619047616,0.9824561403508771,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.01754385964912286,0.9523809523809523,0.9619238476953907,0.02431793372319688,0.8954907848324515,3
16,35,1,5,21,36,0.7619047619047619,0.9722222222222222,0.027777777777777776,0.23809523809523808,0.8947368421052632,0.8670634920634921,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.10526315789473684,0.7341269841269841,0.7644628099173554,0.06711364522417154,0.7115711199294532,4
19,35,1,2,21,36,0.9047619047619048,0.9722222222222222,0.027777777777777776,0.09523809523809523,0.9473684210526315,0.9384920634920635,0.95,0.9047619047619048,0.9268292682926829,0.052631578947368474,0.876984126984127,0.8857715430861723,0.039374463937621826,0.8307835537918871,5
20,36,0,1,21,36,0.9523809523809523,1.0,0.0,0.047619047619047616,0.9824561403508771,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.01754385964912286,0.9523809523809523,0.9619238476953907,0.032494152046783624,0.8603525132275132,6
20,35,1,1,21,36,0.9523809523809523,0.9722222222222222,0.027777777777777776,0.047619047619047616,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.03508771929824561,0.9246031746031745,0.9246031746031746,0.026417933723196885,0.8864657848324514,7
21,32,4,0,21,36,1.0,0.8888888888888888,0.1111111111111111,0.0,0.9298245614035088,0.9444444444444444,0.84,1.0,0.9130434782608696,0.07017543859649122,0.8888888888888888,0.8549618320610687,0.03321130604288499,0.8572704585537918,8
18,35,1,3,21,36,0.8571428571428571,0.9722222222222222,0.027777777777777776,0.14285714285714285,0.9298245614035088,0.9146825396825397,0.9473684210526315,0.8571428571428571,0.9,0.07017543859649122,0.8293650793650793,0.8461538461538461,0.043232748538011706,0.8142021164021164,9
21,35,0,0,21,35,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.008886111111111112,0.9620859259259259,10
19.8,34.6,1.1,1.4,21.2,35.7,0.9335497835497835,0.9692063492063492,0.030793650793650797,0.06645021645021645,0.956140350877193,0.9513780663780663,0.9500491061413123,0.9335497835497835,0.9396689585398633,0.04385964912280704,0.9027561327561326,0.9052988280478337,0.03286841617933723,0.8591906759660093,Average
